,business_id,open_date,target,num_months_with_rev,stars_avg_l12m,stars_avg_l9m,stars_avg_l6m,stars_avg_l3m,rev_avg_month_l12m,rev_avg_month_l9m,rev_avg_month_l6m,rev_avg_month_l3m
0,-01XupAWZEXbdNbxNg5mEg,2009-09-01,0,5,3.25,3.25,2.0,2.0,0.6666666666666666,0.4444444444444444,0.16666666666666666,0.3333333333333333
1,-0WegMt6Cy966qlDKhu6jA,2013-04-01,0,9,2.2857142857142856,2.090909090909091,2.0,2.3333333333333335,1.75,1.2222222222222223,0.6666666666666666,1.0
2,-1UMR00eXtwaeh59pEiDjA,2014-03-01,0,12,3.8360655737704916,4.065217391304348,4.027777777777778,4.1875,5.083333333333333,5.111111111111111,6.0,5.333333333333333
3,-4TMQnQJW1yd6NqGRDvAeA,2012-09-01,0,12,4.214285714285714,4.382352941176471,4.205128205128205,4.095238095238095,8.166666666666666,7.555555555555555,6.5,7.0
4,-6h3K1hj0d4DRcZNUtHDuw,2009-05-01,0,12,3.4074074074074074,3.4210526315789473,3.6923076923076925,4.0,2.25,2.111111111111111,2.1666666666666665,2.3333333333333335
5,-6tvduBzjLI1ISfs3F_qTg,2013-06-01,0,12,3.8034188034188032,3.744186046511628,3.7,3.5974025974025974,19.5,19.11111111111111,21.666666666666668,25.666666666666668
6,-79cl_yASWXiv7RmzirNxA,2016-03-01,0,5,1.6666666666666667,2.0,2.5,4.0,0.5,0.4444444444444444,0.3333333333333333,0.3333333333333333
7,-7d3UqQYYcBxbDH2do86sg,2016-06-01,0,11,3.325,3.4705882352941178,3.6153846153846154,3.875,3.3333333333333335,1.8888888888888888,2.1666666666666665,2.6666666666666665
8,-8QlV3b_9H4BAh6LgMIr1g,2014-05-01,0,12,4.3584905660377355,4.2100840336134455,4.103896103896104,4.090909090909091,13.25,13.222222222222221,12.833333333333334,14.666666666666666
9,-9nai28tnoylwViuJVrYEQ,2010-07-01,0,12,3.65,3.5555555555555554,3.5416666666666665,4.0,5.0,4.0,4.0,2.6666666666666665
10,-9xZZLLxuQabvBDODqpM-g,2016-11-01,0,6,4.6923076923076925,4.333333333333333,4.333333333333333,4.333333333333333,1.0833333333333333,0.6666666666666666,1.0,2.0
11,-Bdw-5H5C4AYSMGnAvmnzw,2008-11-01,0,12,4.163265306122449,4.117647058823529,4.038461538461538,4.0,4.083333333333333,3.7777777777777777,4.333333333333333,5.666666666666667
12,-Bo1rsE6Mfn0wdqnIj3GSA,2017-03-01,0,2,4.5,4.5,4.5,4.5,0.16666666666666666,0.0,0.0,0.0
13,-BrMNg4MbpftOUTjOMVp9g,2015-06-01,0,11,3.5535714285714284,3.7948717948717947,3.55,3.5,4.666666666666667,4.333333333333333,3.3333333333333335,4.0
14,-CBZRTYGcksmshymcD5iMA,2017-11-01,0,2,5.0,5.0,5.0,5.0,0.3333333333333333,0.0,0.0,0.0
15,-CfFjcCcGGDM9MVH_d42RQ,2015-04-01,0,12,3.759259259259259,3.6301369863013697,3.5576923076923075,3.3181818181818183,9.0,8.11111111111111,8.666666666666666,7.333333333333333
16,-Gy0BAMgRN4sGlY7theqxQ,2015-09-01,0,10,4.471698113207547,4.552631578947368,4.666666666666667,4.8,4.416666666666667,4.222222222222222,3.0,1.6666666666666667
17,-H1-IzxW6CXmjhmF5F6iMA,2016-11-01,0,11,3.259259259259259,3.3333333333333335,3.111111111111111,3.6666666666666665,2.25,1.3333333333333333,1.5,1.0
18,-Ht7HiGBox8lS1Y8IPjO8g,2007-08-01,1,10,3.740740740740741,3.65,3.6923076923076925,3.5555555555555554,2.25,2.2222222222222223,2.1666666666666665,3.0
19,-ITj6Pu8Gdw8MmLf0XBEKQ,2012-03-01,0,12,3.6779661016949152,3.7027027027027026,3.769230769230769,3.7333333333333334,4.916666666666667,4.111111111111111,4.333333333333333,5.0
20,-IZvuqxekWEvJqDw308daQ,2008-08-01,0,2,4.0,4.0,4.0,4.0,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.3333333333333333
21,-JzL9Xkx42k82uKSy3X5Zw,2015-07-01,0,9,4.714285714285714,4.705882352941177,4.545454545454546,5.0,2.3333333333333335,1.8888888888888888,1.8333333333333333,2.6666666666666665
22,-K3kqmykKlhlB4arCsLHOw,2012-05-01,0,10,3.3684210526315788,3.3636363636363638,3.1666666666666665,4.666666666666667,1.5833333333333333,1.2222222222222223,1.0,1.0
23,-Ma5JqzuI_3xIAtpNJfQ2g,2013-09-01,0,12,4.18,4.147058823529412,4.2592592592592595,4.125,4.166666666666667,3.7777777777777777,4.5,5.333333333333333
24,-OOVJcc1-qOUqI9131u0gw,2011-11-01,0,7,2.625,2.5454545454545454,2.1666666666666665,1.8,1.3333333333333333,1.2222222222222223,1.0,1.6666666666666667
25,-PARO4rKPyOBgra18yANYQ,2012-05-01,0,6,3.2222222222222223,3.8333333333333335,4.2,4.0,0.75,0.6666666666666666,0.8333333333333334,0.3333333333333333
26,-PbCfkydmvuNcG9VG_ixkQ,2016-09-01,0,12,4.097560975609756,4.086206896551724,3.8055555555555554,3.4,6.833333333333333,6.444444444444445,6.0,5.0
27,-RN70NJDP02wVcrg5yPO8Q,2014-09-01,0,10,4.035714285714286,4.095238095238095,4.0,4.0,2.3333333333333335,2.3333333333333335,3.1666666666666665,5.0
28,-RYIKWBSTaJ21B2UMyzI-Q,2013-11-01,0,12,3.1315789473684212,3.1346153846153846,3.0833333333333335,3.6153846153846154,6.333333333333333,5.777777777777778,6.0,4.333333333333333
29,-Ut87cwGFsO3444Rd11p0Q,2009-08-01,0,2,4.5,5.0,5.0,5.0,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.3333333333333333
30,-WjQWbAIGyJE4vYJYUZjSQ,2012-04-01,0,2,3.0,2.0,2.0,2.0,0.25,0.2222222222222222,0.0,0.0
31,-ZBfr1BHvArFp1d6XH8jOQ,2010-05-01,0,12,4.65,4.647058823529412,4.684210526315789,4.75,5.0,5.666666666666667,6.333333333333333,5.333333333333333
32,-_v2it0tjfDriFqN-FGpIg,2009-07-01,0,2,3.5,3.0,3.0,3.0,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.0
33,-_yAaFHx0e1ZqmuHTtqnFA,2016-08-01,0,12,4.090909090909091,3.9767441860465116,4.25,4.083333333333333,6.416666666666667,4.777777777777778,4.0,4.0
34,-aGDIa9q_1alWtiLIlpjxw,2011-05-01,0,4,3.6,3.75,3.75,4.0,0.4166666666666667,0.4444444444444444,0.6666666666666666,1.0
35,-aqb_GgAbEIOdhbY0UDKog,2010-07-01,0,7,3.9,4.0,3.857142857142857,4.25,0.8333333333333334,0.8888888888888888,1.1666666666666667,1.3333333333333333
36,-bd4BQcl1ekgo7avaFngIw,2014-08-01,0,12,3.740740740740741,3.6145251396648046,3.52991452991453,3.9069767441860463,22.5,19.88888888888889,19.5,14.333333333333334
37,-dIguFQ4Q7pFV55JtzN48g,2016-01-01,0,12,2.730769230769231,2.6296296296296298,2.4705882352941178,2.375,4.333333333333333,3.0,2.8333333333333335,2.6666666666666665
38,-exEWEQ3iSMVC-QUP_ycPQ,2016-06-01,0,12,4.973684210526316,4.966666666666667,4.9523809523809526,5.0,3.1666666666666665,3.3333333333333335,3.5,3.3333333333333335
39,-fSW_9x8c_wTm1zS4dz3rw,2012-06-01,0,11,4.375,4.2,4.1,3.75,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333
40,-i0DZp5-KT54MpqvREmqXQ,2013-06-01,0,7,3.4761904761904763,3.1333333333333333,2.5,4.0,1.75,1.6666666666666667,1.0,0.3333333333333333
41,-kIscN8I29eXMPkvyyxmRQ,2012-10-01,1,11,4.545454545454546,4.579710144927536,4.576271186440678,4.709677419354839,6.416666666666667,7.666666666666667,9.833333333333334,10.333333333333334
42,-o2bwiM7OXRDEl0HVweUnQ,2011-07-01,0,4,3.5,3.6666666666666665,3.6666666666666665,1.0,0.5,0.3333333333333333,0.5,0.3333333333333333
43,-ot4Xd6GxSUOqwUj7okZuA,2016-11-01,0,12,4.733333333333333,4.745098039215686,4.764705882352941,4.8,6.25,5.666666666666667,5.666666666666667,5.0
44,-rMJrY16eFTQd4I035G1oQ,2011-11-01,0,3,2.0,1.0,1.0,1.0,0.25,0.1111111111111111,0.0,0.0
45,-rhH9sL3XGFpoJXcxUpEWA,2010-03-01,0,12,3.5734265734265733,3.6145833333333335,3.7818181818181817,3.8125,11.916666666666666,10.666666666666666,9.166666666666666,10.666666666666666
46,-sYbz2nZY6iVFPd957E7dw,2015-05-01,0,10,2.875,3.4,3.2222222222222223,4.25,1.3333333333333333,1.1111111111111112,1.5,1.3333333333333333
47,-s_U95xEEmJu5GK-srqpUA,2012-03-01,0,12,3.8292682926829267,4.107142857142857,4.125,4.2,3.4166666666666665,3.111111111111111,2.6666666666666665,3.3333333333333335
48,-vaqW1U1UE-gPbpgdCyA8w,2016-09-01,0,4,2.25,3.0,5.0,5.0,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.0
49,-xIrVu_7prj_0GDl1tds1w,2016-12-01,0,12,4.594202898550725,4.613636363636363,4.724137931034483,4.866666666666666,5.75,4.888888888888889,4.833333333333333,5.0
50,-xkEf2T_2bM_n0rMmH-svg,2011-04-01,0,8,3.75,3.375,3.5,2.5,1.0,0.8888888888888888,1.0,0.6666666666666666
51,-yQHIYKXH3HAdhh1W52OMQ,2013-07-01,0,12,4.248062015503876,4.171717171717172,4.144927536231884,4.310344827586207,10.75,11.0,11.5,9.666666666666666
52,0-u2co3RvfOogEnx6EJe9w,2018-02-01,0,2,4.4,4.4,4.4,4.4,1.25,0.0,0.0,0.0
53,01xTdrNUuTOAyH7NaRWcUA,2016-05-01,0,12,3.143884892086331,3.2857142857142856,3.393939393939394,3.7857142857142856,11.583333333333334,7.777777777777778,5.5,4.666666666666667
54,01xXe2m_z048W5gcBFpoJA,2011-07-01,0,8,2.9473684210526314,2.6666666666666665,2.5,2.5,1.5833333333333333,1.3333333333333333,1.0,1.3333333333333333
55,02EYqwh47uVxOaOKrnx8SQ,2007-05-01,0,7,3.4444444444444446,3.6,3.6,4.25,0.75,0.5555555555555556,0.8333333333333334,1.3333333333333333
56,02hhtAO83rZBU1hflleElA,2018-01-01,0,3,4.733333333333333,4.733333333333333,4.733333333333333,4.733333333333333,2.5,0.0,0.0,0.0
57,042IHd5KjHiMuBtGtugO_g,2015-03-01,0,12,3.9153439153439153,3.9508196721311477,3.923076923076923,3.857142857142857,15.75,13.555555555555555,13.0,14.0
58,04ZtW6rq8rPYD-kLhNY2_Q,2018-02-01,0,2,2.8620689655172415,2.8620689655172415,2.8620689655172415,2.8620689655172415,2.4166666666666665,0.0,0.0,0.0
59,04sZ_Tn_iMSZOi98m_2-fg,2016-08-01,0,11,4.0285714285714285,4.416666666666667,4.411764705882353,4.6,2.9166666666666665,2.6666666666666665,2.8333333333333335,3.3333333333333335
60,05BpxQYVbywxliQ9yA0CKw,2013-03-01,0,11,2.395348837209302,2.0,1.7,1.4,3.5833333333333335,2.111111111111111,1.6666666666666667,1.6666666666666667
61,06lCNuSrCnaU6eq0EV4PYg,2011-03-01,0,11,3.761904761904762,3.847826086956522,3.8421052631578947,3.642857142857143,5.25,5.111111111111111,6.333333333333333,4.666666666666667
62,0859wfd1BQHG46Zpwhc0ZQ,2014-07-01,0,12,4.436619718309859,4.377358490566038,4.264705882352941,4.357142857142857,5.916666666666667,5.888888888888889,5.666666666666667,4.666666666666667
63,09LYxY5D4GcKc0Tvs4K_gw,2017-06-01,0,9,4.261904761904762,4.416666666666667,4.214285714285714,3.75,3.5,2.6666666666666665,2.3333333333333335,1.3333333333333333
64,09psTuUYhUMA2ZRzQlm30Q,2009-11-01,0,10,2.8518518518518516,3.1538461538461537,3.7142857142857144,3.0,2.25,1.4444444444444444,1.1666666666666667,1.0
65,0BaMoKDVNv-MP84BQ9EK9A,2015-06-01,0,4,1.25,1.0,1.0,1.0,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.0
66,0CElIQnJdQYF2bmsAiWczg,2016-05-01,0,12,3.898550724637681,3.797872340425532,3.8208955223880596,3.8666666666666667,11.5,10.444444444444445,11.166666666666666,15.0
67,0FUtlsQrJI7LhqDPxLumEw,2007-07-01,1,7,3.8,3.6666666666666665,3.5,3.5,0.8333333333333334,1.0,1.0,2.0
68,0H9bomdciJmcqfojkxLnsA,2014-05-01,0,12,3.701492537313433,3.7083333333333335,3.761904761904762,3.8181818181818183,5.583333333333333,2.6666666666666665,3.5,3.6666666666666665
69,0HgLKI1T9WT3hJXskDtUrQ,2016-07-01,0,12,4.139784946236559,4.057971014492754,4.020833333333333,3.962962962962963,7.75,7.666666666666667,8.0,9.0
70,0KpoeCt1E-SQsUBwtjLAEw,2016-09-01,0,8,3.230769230769231,3.111111111111111,2.8,2.0,1.0833333333333333,1.0,0.8333333333333334,1.0
